"from","to"
45,80
45,82
45,83
45,84
45,86
45,87
45,88
45,90
45,92
45,94
45,95
45,96
45,97
45,99
45,100
45,102
45,103
45,105
45,108
45,109
45,110
45,112
45,113
45,115
45,117
45,119
45,120
45,121
45,125
45,127
45,128
45,130
45,133
45,134
45,136
45,138
45,139
45,140
45,146
45,148
45,150
45,155
45,156
45,157
45,158
45,165
45,168
45,173
45,178
45,180
45,182
45,187
45,193
45,212
46,1
46,32
46,72
47,1
47,2
47,3
47,6
47,7
47,8
47,9
47,10
47,13
47,14
47,15
47,17
47,22
47,23
47,26
47,27
47,30
47,31
47,32
47,34
47,36
47,37
47,39
47,44
47,45
47,51
47,59
47,60
47,62
47,63
47,69
47,80
47,82
47,86
47,87
47,88
47,96
47,102
47,105
47,110
47,119
47,125
47,139
47,150
47,155
47,158
48,52
48,53
48,60
48,68
48,88
48,90
48,178
48,193
49,3
49,5
49,14
49,15
49,22
49,29
49,34
49,35
49,45
49,55
49,58
49,66
49,76
49,84
49,95
49,96
49,103
49,108
49,119
49,125
49,127
49,128
49,134
49,156
51,2
51,3
51,27
51,36
51,37
51,45
51,48
51,60
51,63
51,77
51,86
51,87
51,88
51,90
52,2
52,3
52,6
52,7
52,9
52,14
52,22
52,23
52,25
52,27
52,28
52,30
52,31
52,34
52,35
52,40
52,44
52,45
52,48
52,53
52,62
52,68
52,69
52,73
52,74
52,76
52,78
52,83
52,84
52,86
52,87
52,100
52,104
52,105
52,116
52,119
52,146
52,148
52,150
52,180
54,4
54,6
54,14
54,37
54,44
54,45
54,57
55,2
55,6
55,7
55,8
55,15
55,17
55,22
55,35
55,37
55,44
55,45
55,49
55,55
55,58
55,66
55,76
55,82
55,94
55,95
55,96
55,108
55,112
55,127
55,130
55,136
55,155
58,6
58,16
58,45
58,55
58,70
58,79
58,97
58,103
58,112
58,128
58,130
58,136
58,173
59,14
59,170
59,180
60,2
60,3
60,6
60,34
60,36
60,37
60,45
60,48
60,51
60,52
60,63
60,69
60,70
60,73
60,77
60,80
60,84
60,86
60,88
60,90
61,22
62,2
62,4
62,7
62,8
62,9
62,10
62,11
62,13
62,14
62,15
62,21
62,25
62,26
62,27
62,30
62,34
62,35
62,36
62,40
62,44
62,52
62,54
62,68
62,69
62,70
62,78
62,80
62,84
62,87
62,98
62,119
62,146
62,148
62,150
62,178
62,212
63,3
63,4
63,6
63,11
63,13
63,14
63,15
63,17
63,22
63,27
63,30
63,32
63,36
63,37
63,40
63,42
63,44
63,45
63,51
63,52
63,60
63,62
63,68
63,69
63,70
63,73
63,74
63,76
63,80
63,83
63,84
63,86
63,87
63,88
63,94
63,98
63,100
63,102
63,105
63,109
63,116
63,117
63,121
63,146
63,148
63,150
63,156
64,14
64,70
64,112
64,128
64,130
64,178
65,6
65,14
65,15
65,35
65,37
65,45
65,55
65,58
65,70
65,76
65,112
65,120
65,127
65,178
66,6
66,14
66,21
66,35
66,45
66,55
66,58
66,96
66,97
66,108
68,2
68,6
68,14
68,15
68,22
68,27
68,30
68,35
68,36
68,40
68,45
68,48
68,52
68,62
68,70
68,84
68,86
68,90
68,148
69,2
69,3
69,7
69,9
69,11
69,14
69,15
69,22
69,25
69,27
69,30
69,32
69,35
69,36
69,37
69,40
69,42
69,44
69,48
69,51
69,52
69,60
69,62
69,63
69,68
69,73
69,77
69,83
69,84
69,86
69,87
69,88
69,90
69,98
69,100
69,103
69,116
69,117
69,121
69,133
69,134
69,148
69,158
70,2
70,3
70,4
70,6
70,7
70,8
70,9
70,10
70,11
70,14
70,15
70,22
70,27
70,31
70,32
70,34
70,36
70,37
70,44
70,45
70,49
70,62
70,69
70,73
70,75
70,76
70,80
70,84
70,88
70,98
70,121
70,156
71,4
71,75
71,78
71,92
71,109
71,113
71,150
71,158
71,159
71,181
72,32
73,4
73,6
73,11
73,13
73,14
73,15
73,21
73,22
73,27
73,30
73,32
73,34
73,35
73,36
73,44
73,45
73,52
73,62
73,63
73,68
73,80
73,82
73,84
73,86
73,87
73,98
73,102
73,117
73,121
74,4
74,14
74,15
74,27
74,30
74,35
74,37
74,45
74,53
74,60
74,70
74,83
75,115
75,168
76,2
76,5
76,6
76,7
76,9
76,15
76,16
76,21
76,22
76,23
76,27
76,29
76,32
76,34
76,35
76,44
76,45
76,49
76,53
76,55
76,58
76,60
76,66
76,68
76,79
76,84
76,88
76,94
76,95
76,96
76,97
76,105
76,108
76,119
76,127
76,130
76,134
76,136
76,146
76,148
76,158
77,48
77,51
77,90
78,4
78,6
78,14
78,27
78,35
78,37
78,40
78,44
78,119
78,157
78,187
78,213
79,16
79,45
79,58
80,4
80,6
80,7
80,8
80,11
80,13
80,25
80,26
80,34
80,36
80,37
80,44
80,45
80,98
80,102
80,150
80,158
81,5
81,16
81,27
81,45
81,58
81,79
81,94
81,96
81,97
81,103
81,112
81,120
81,127
82,2
82,3
82,4
82,5
82,6
82,7
82,8
82,9
82,13
82,14
82,15
82,21
82,22
82,27
82,30
82,34
82,35
82,36
82,37
82,39
82,44
82,45
82,48
82,53
82,54
82,57
82,59
82,62
82,68
82,70
82,73
82,74
82,78
82,80
82,96
82,98
82,105
82,109
82,113
82,119
82,140
82,146
82,148
82,182
82,187
82,212
83,14
83,15
83,32
83,68
83,72
83,73
83,84
83,98
83,100
83,117
83,121
84,2
84,6
84,14
84,22
84,27
84,30
84,32
84,35
84,40
84,44
84,45
84,52
84,58
84,62
84,63
84,68
84,69
84,70
84,83
84,86
84,87
84,88
84,100
84,148
85,48
86,2
86,3
86,4
86,6
86,11
86,14
86,15
86,27
86,36
86,37
86,45
86,51
86,52
86,60
86,62
86,63
86,68
86,69
86,77
86,84
86,87
86,88
86,90
86,148
87,2
87,3
87,4
87,6
87,14
87,15
87,22
87,30
87,35
87,36
87,37
87,44
87,45
87,52
87,60
87,62
87,63
87,69
87,73
87,82
87,84
87,86
87,88
87,98
87,105
87,148
88,2
88,3
88,6
88,7
88,9
88,11
88,15
88,22
88,32
88,34
88,36
88,37
88,42
88,45
88,48
88,51
88,52
88,60
88,62
88,63
88,69
88,73
88,77
88,80
88,84
88,86
88,87
88,90
88,100
88,105
88,133
88,148
89,2
89,6
89,15
89,21
89,25
89,36
89,40
89,44
89,48
89,62
89,84
89,94
89,119
89,125
89,128
89,146
89,187
90,2
90,3
90,6
90,15
90,36
90,37
90,45
90,48
90,51
90,52
90,60
90,62
90,63
90,69
90,77
90,84
90,86
90,88
90,102
91,4
91,6
91,14
91,15
91,22
91,27
91,37
91,44
91,45
91,54
91,57
91,59
91,62
91,78
91,119
91,170
91,173
91,180
91,187
92,4
92,6
92,44
92,109
92,113
92,181
93,14
93,17
93,19
93,21
93,25
93,28
93,32
93,33
93,34
93,36
